ds,yhat,yhat_lower,yhat_upper
2022-06-22,2270.843053857087,2265.6127515163876,2276.2468663954974
2022-06-23,2275.5669863474973,2270.5296457399345,2281.4399871821747
2022-06-24,2280.21736525332,2275.014063025444,2285.8441269489226
2022-06-25,2284.038683611349,2278.792821656755,2289.3674536277645
2022-06-26,2289.23076378037,2283.7647038273913,2294.4591044741946
2022-06-27,2294.0623699755815,2288.524165863775,2299.4770548994893
2022-06-28,2298.8422824822032,2293.5689054099394,2304.3122058150975
2022-06-29,2303.5452710569493,2298.0712809251945,2309.374796978745
2022-06-30,2308.2692035473597,2303.2418492745983,2313.9542570210583
2022-07-01,2312.9195824531826,2307.4056422708477,2318.0836948811216
2022-07-02,2316.7409008112118,2310.5901338767376,2322.335249941902
2022-07-03,2321.9329809802325,2316.6124906636837,2327.5951204087582
2022-07-04,2326.7645871754435,2321.3977860754017,2331.9186895715206
2022-07-05,2331.544499682065,2326.4000647137696,2336.944097330436
2022-07-06,2336.2474882568117,2330.808647056565,2341.759386962331
2022-07-07,2340.9714207472225,2335.7027490165256,2346.8054478983245
2022-07-08,2345.4529045802055,2340.4823173446966,2351.0825344130258
2022-07-09,2349.105327865395,2343.819959030173,2354.5435475082063
2022-07-10,2354.1285129615776,2348.45017405182,2359.75473575155
2022-07-11,2358.791224083948,2352.840162767131,2364.042487531626
2022-07-12,2363.4022415177305,2357.7012936538727,2368.6053413462796
2022-07-13,2367.9363350196386,2362.2751327803235,2373.4708874126295
2022-07-14,2372.491372437208,2366.9957718753317,2378.0038753604003
2022-07-15,2376.972856270191,2371.3757686739077,2381.989977231136
2022-07-16,2380.6252795553823,2374.9791388089884,2386.1857068362297
2022-07-17,2385.6484646515646,2380.433558106411,2390.845028152001
2022-07-18,2390.3111757739334,2385.35709131311,2395.5440857825547
2022-07-19,2394.922193207717,2389.2589746500566,2400.3421929387646
2022-07-20,2399.4562867096242,2394.2028100658426,2405.1346793183147
2022-07-21,2404.0113241271956,2398.290589362639,2409.556314302252
2022-07-22,2408.4928079601796,2402.7270119549185,2413.7357175159327
2022-07-23,2412.145231245369,2406.404208133827,2417.7765838039736
2022-07-24,2417.1684163415503,2411.4982495842073,2422.644586872468
2022-07-25,2421.831127463921,2416.268534005337,2426.9884420340763
2022-07-26,2426.4421448977023,2421.2274247276905,2431.755012377658
2022-07-27,2430.97623839961,2425.6774161571097,2436.5507403887045
2022-07-28,2435.5312758171817,2429.812476174889,2440.9230520685815
2022-07-29,2440.0127596501648,2434.6679719207223,2445.5627841681853
2022-07-30,2443.665182935355,2438.5049410426222,2449.425977225533
2022-07-31,2448.5714833895627,2443.4476097748243,2453.9587495164956
2022-08-01,2453.117309869957,2447.4348631479365,2458.433613403522
2022-08-02,2457.611442661763,2452.3560908340846,2462.995096143422
2022-08-03,2462.0286515216944,2456.2997079824963,2467.3361365691317
2022-08-04,2466.466804297291,2461.1101314309863,2472.0219468243795
2022-08-05,2470.8314034883006,2465.5101997671604,2476.4104107295157
2022-08-06,2474.366942131514,2469.328460483466,2479.920645036071
2022-08-07,2479.2732425857203,2473.72644829254,2484.7471609364147
2022-08-08,2483.819069066115,2478.2711820154523,2489.3632084017286
2022-08-09,2488.3132018579226,2482.923199980053,2493.9396387775623
2022-08-10,2492.7304107178543,2487.24258492925,2498.1060715285466
2022-08-11,2497.168563493451,2491.6072831317983,2502.6743608097026
2022-08-12,2501.5331626844613,2496.139876392192,2507.0764814907625
2022-08-13,2505.068701327673,2499.6401944560375,2510.498292571909
2022-08-14,2509.97500178188,2504.0594270737315,2515.4579839950266
2022-08-15,2514.5208282622757,2509.167171199332,2519.8838901633344
2022-08-16,2519.0149610540807,2513.2100292292716,2524.671373739237
2022-08-17,2523.4321699140137,2517.915567631137,2529.303878503789
2022-08-18,2527.8703226896096,2521.880432925442,2533.3903239087335
2022-08-19,2532.23492188062,2526.6946806595706,2538.122461370713
2022-08-20,2535.770460523832,2530.293695274884,2541.4891022481015
2022-08-21,2540.676760978039,2535.198162301465,2545.572646205117
2022-08-22,2545.222587458433,2539.493580811563,2550.850074630209
2022-08-23,2549.5864596490064,2544.33995768392,2555.0068500565862
2022-08-24,2553.873407907704,2548.6304421556824,2559.5209657921846
2022-08-25,2558.1813000820657,2552.789199821107,2563.736967486499
2022-08-26,2562.41563867184,2557.1866184582173,2567.884959711121
2022-08-27,2565.820916713818,2560.587826565937,2571.3764152843187
2022-08-28,2570.596956566791,2565.0917724578253,2575.763384865684
2022-08-29,2575.0125224459516,2569.8445159639023,2580.456621168928
2022-08-30,2579.3763946365234,2574.272061593578,2585.006462186109
2022-08-31,2583.6633428952205,2578.4312600246944,2589.465611223932
2022-09-01,2587.9712350695822,2582.5724062204604,2593.365543092881
2022-09-02,2592.205573659356,2586.813092920214,2597.741544997511
2022-09-03,2595.6108517013354,2590.0925206803563,2601.0474015710206
2022-09-04,2600.386891554309,2595.179450489843,2605.5940794256967
2022-09-05,2604.802457433468,2599.2751210446704,2610.4571567219
2022-09-06,2609.1663296240413,2603.5861824784547,2614.5792135988004
2022-09-07,2613.4532778827397,2607.4644881013755,2619.10733462118
2022-09-08,2617.7611700570988,2612.542460286789,2623.8714638257575
2022-09-09,2621.9955086468735,2616.401026177403,2627.5294533200254
2022-09-10,2625.400786688853,2619.800798322977,2630.4520711670507
2022-09-11,2630.1768265418264,2624.8809160004466,2635.7018001487268
2022-09-12,2634.5923924209856,2628.913977800383,2640.0391290845296
2022-09-13,2638.9562646115596,2633.363625124447,2644.4191350093965
2022-09-14,2643.2432128702544,2637.7295252026656,2648.4970139913253
2022-09-15,2647.5511050446157,2642.1654767470154,2652.9475074307325
2022-09-16,2651.691294948245,2646.1760261384943,2657.459833084012
2022-09-17,2655.0024243040793,2649.462728809771,2660.1648449182903
2022-09-18,2659.6843154709054,2654.2771607506284,2665.2629638090193
2022-09-19,2664.005732663921,2658.6130216290567,2669.427684090431
2022-09-20,2668.2754561683473,2662.867671884308,2673.685720660338
2022-09-21,2672.4682557409,2666.831931060731,2677.776366190866
2022-09-22,2676.6819992291157,2671.1829126394164,2682.2879072409396
2022-09-23,2680.822189132743,2675.3232806225396,2685.9034003600277
2022-09-24,2684.1333184885775,2678.694653226932,2689.489612858229
2022-09-25,2688.8152096554054,2683.829697208309,2694.6111565103856
2022-09-26,2693.1366268484207,2687.5335550353843,2698.8473530864394
2022-09-27,2697.4063503528478,2692.2876178575507,2702.3573186639787
2022-09-28,2701.5991499253983,2695.626651515801,2706.997462127412
2022-09-29,2705.8128934136153,2700.2756692803673,2711.1808135985043
2022-09-30,2709.9530833172453,2704.7913537067498,2715.591815929322
2022-10-01,2713.2642126730775,2707.875817372975,2718.7909934729523
2022-10-02,2717.946103839904,2711.851837961268,2723.0166881112673
2022-10-03,2722.2675210329194,2716.5045766944913,2727.8593569185505
2022-10-04,2726.537244537347,2721.2560724116765,2732.0210484760446
2022-10-05,2730.7300441098987,2725.411654117635,2736.239124592328
2022-10-06,2734.9437875981153,2729.7163355731172,2740.7171073921004
2022-10-07,2739.0839775017434,2733.9186451854307,2744.310870263668
2022-10-08,2742.3951068575766,2737.3444704853855,2747.5988941952937
2022-10-09,2746.9625454839384,2741.358852194451,2752.441638880152
2022-10-10,2751.169510136486,2745.854466041215,2756.798507817086
2022-10-11,2755.324781100447,2749.703738516563,2760.51418090589
2022-10-12,2759.403128132533,2754.1039836679515,2765.071126175972
2022-10-13,2763.5024190802815,2758.2439180680476,2769.4115786118455
2022-10-14,2767.5281564434435,2761.912848774632,2772.8741217394145
2022-10-15,2770.7248332588115,2765.0591464847503,2776.2181454742454
2022-10-16,2775.2922718851705,2769.6088922987433,2780.5703493878045
